Index,Comentario,Fecha;;;;,clasificacion,valoracion
143,Buena,6 de noviembre de 2023;;;;,<general>,Positivo
144,"En general me gustaron todas las atracciones del parque, tiene muy buena distribucion de rutas y para ser la primera vez que visitamos nos fue bien y no nos perdimos, solo me gustaria agregar dos cosas; la primera es que nos toco vivir la celebracion del dia de muertos, sin embargo la mayoria de las catrinas que estaban como modelos y parte de staff eran extranjeros (argentinos, espanoles, etc., lo reconoci por su acento) y despues ir al bano y ver que chicas mexicanas hermosas estuvieran limpiando banos, simplemente triste y desagradable...Pienso que cualquier turista quiere ver a mexicanos, vestidos de su cultura, conocer su forma de ser, de hablar e interactuar y en segundo lugar el mesero que nos toco en el restaurante internacional junto a la playa, se comporto enojado y despota... pero la comida estuvo riquisima, por ultimo espero que se cuiden esos detalles para que no se pierda la esencia de este pais tan hermoso, pues dicho sea de paso, ese parque atractivo vive de representar a la cultura y antepasados de nuestro Mexico Lindo y Querido.... Saludos!!!",1 de noviembre de 2023;;;,"general, naturaleza/atracciones, trato personal, buffet, no clasificable","Positivo, Positivo, Negativo, Positivo, Negativo"
145,Voladores,31 de octubre de 2023;;;;,<no clasificable>,<neutro>
146,"Escribo esta opinion, solo para expresar mi preocupacion.En el espectaculo de la noche, en el numero de los voladores de papantla, el volador principal tuvo serios problemas para sentarse cuando los demas voladores bajaron.No tenia de donde sujetarse.Ademas, la estructura de madera crujia y se sacudia.Pensamos que se iba a caer.Fue aterrador.Espero de verdad, que protejan a estos artistas, porque no vi que tengan un tipo de proteccion para estas situaciones.",26 de octubre de 2023;;;;,"show, no clasificable",Negativo
147,CAFEXITO,25 de octubre de 2023;;;;,<no clasificable>,<neutro>
148,"Nos encontramos con Evelyn y Julian quien mi familia y yo consideramos las personas mas amable de este parque el cafe simplemente exquisito y la atencion fue increible ! Muchas gracias por sus atenciones! Igual la chica que nos cobro fue amable Viridiana . Probamos un horchata latte , capuchino y un cafe negro que estuvo delicioso!",22 de octubre de 2023;;;;,"trato personal, buffet",Positivo
149,El mejor parque y grandes experiencias,22 de octubre de 2023;;;;,<general>,Positivo
150,"Es el parque de excelencia de experiencias Xcaret, tiene de todo, si es la primera vez que lo visitas baja la app y revisa el mapa, eso te ayudara a no dar bucles que te lleven una y otra vez al mismo lugar, lo primero es dejar tus cosas en el casillero (paga plus, sino todo lo que gastes sera igual el costo a fin de cuentas), primero ve a la torre escenica, luego conoce el pueblo maya, la exhacienda y hacerlo rapido, el viaje en una lanchita en el rio para relajarse, porque luego te toca visitar lo que mas te llame la atencion en el mapa, para hacer casi al final el nado en los rios subterraneos y de alli a comer, porque regresaras casi a la entrada para el espectaculo. Ten por seguro que te faltara tiempo para conocer todo el parque, pero no pierdas tiempo en la zona kids a menos que acudas por dos dias o ya tengas otras visitas, el paquete de fotografias si es bueno solo que por la cantidad de personas que visitamos no tendras tiempo y muchas veces saldran desconocidos en tus fotos, pero son de muy buena calidad. Evita ante todo dar vueltas y vueltas por el mismo sitio, revisa el mapa, tampoco te quedes a ver los actos que hacen durante el dia, el espectaculo te dara una grata sorpresa.Toma las fotos que quieras a las guacamayas que estan a la entrada porque en el espectaculo te da por tomarles fotos pero los entrenadores son groseros y un dia pueden echarte a perder, evitarlo.El preferible llegar pronto a tanchco para escoger tu lugar, muy arriba no se alcanza a leer algunas explicaciones.Las entradas si tienes chance comprarlas en Costco te incluyen alguna actividad extra y te reduce el precio. En la pagina checa promociones y revisa los codigos.",19 de octubre de 2023;;;;,"general, naturaleza/atracciones, trato personal, show, precio, no clasificable","Positivo, Positivo, Negativo, Positivo, Positivo, Neutro"
151,Seria bueno que consideren precios poco mas economicos para turistas nacionales,17 de octubre de 2023;;;;,precio,Negativo
152,"Es un lugar muy bello. Experiencia muy padre. Espectaculo nocturno te reafirma el amor por Mexico.Pero francamente no estoy segura de querer regresar, los precios son excesivos. Comprendo que salir de viaje es gastar y gastar, pero creo que Xcaret es un lugar que abusa de ello. Fuimos unicamente mi esposo y yo. De puro Xcaret nos gastamos $20,000 MXNPara quienes no han tenido oportunidad de ir, tomenlo de referencia.",10 de octubre de 2023;;;;,"general, show, precio","Positivo, Positivo, Negativo"
153,Demasiado cansado por la fila,9 de octubre de 2023;;;;,<no clasificable>,Negativo
154,Lindo pero demasiado gente y fila para todo ademas para nada economico. La comida es muy comercial y el buffet falta calidad,8 de octubre de 2023;;;;,"<general>, <buffet>, <precio>","Negativo, Negativo, Negativo"
155,Todo espectacular!,6 de octubre de 2023;;;;,<general>,Positivo
156,"Todo muy increible! Todos muy amables y toda la comida muy rica. La caracterizacion de los personajes muy profecional, y el espectaculo de la noche Mexico Espectacular fue muy llamativo, todos los bailes y las representaciones preispanicas fueron muy impresionantes, y al final los bailes regionales de cada estado fue algo de lo mejor. Y sobre todo el Sinaloense! Muy recomendable para ir en familia si vas por primera vez a Playa del Carmen.",5 de octubre de 2023;;;;,"general, trato personal, buffet, show","Positivo, Positivo, Positivo, Positivo"
157,Un lugar magico,4 de octubre de 2023;;;;,<general>,Positivo
158,"Exelente,bien cuidado,bien rotulado,la comida exelente.el espectaculo de la noche epico. Enamorado de la cultura mexicana.",3 de octubre de 2023;;;;,"general, naturaleza/atracciones, buffet, show","Positivo, Positivo, Positivo, Positivo"
159,Lo vale!!,1 de octubre de 2023;;;;,<general>,Positivo
160,"Vale la pena, el parque esta hermoso y tiene bastantes zonas para visitar, rutas, spots para tomarse fotos, la comida dentro del parque es cara pero rica",29 de septiembre de 2023;;;;,"general, naturaleza/atracciones, buffet","Positivo, Positivo, Negativo"
161,Xcaret maravilloso ,28 de septiembre de 2023;;;;,<general>,Positivo
162,Recomendacion llegar temprano para poder conocer el parque tranquilamente.Me gusto mucho sobre todo el rio subterraneo que es un imperdible!La gente muy atenta realmente da gusto como atienden al turista.,28 de septiembre de 2023;;;;,"<general>, <naturaleza/atracciones>, <trato personal>","Positivo, Positivo, Positivo"
163,Visita a Xcaret sem fotos nem respostas,27 de septiembre de 2023;;;;,<no clasificable>,<neutro>
164,"El 7 de septiembre de 2023 visite el parque ecoarqueologico Xcaret. Excelente para diversion, conocimiento, historia y arqueologia. Me encantaba nadar en los rios.Punto negativo, compre un pack de fotos por 4 pulseras, 109 dolares, y me informaron que en 5 dias recibiria un link para descargarlo. No recibi el link, ni las fotos, y lamentablemente el parque no responde los correos electronicos y reclamar via WhatsApp no tuvo resultado. Este tema fotografico fue una ganga. Nunca volvere y no recomiendo a nadie que compre fotografias del sistema de camaras del parque.",24 de septiembre de 2023;;;;,"general, naturaleza/atracciones, precio, no clasificable","Positivo, Positivo, Negativo, Negativo"
165,"La verdad fuimos en familia, somos 4 y el paquete plus es muy pobreTo",23 de septiembre de 2023;;;;,"general, precio",Negativo
166,"El paquete era caro ,compre un pack con delfines y adrenalina pero luego tuve que pagar adicional para que los delfines nos levantarandespues todo caro ,las fotos 200 U$S las 10 fotos digitales ...ni impresastodo carisismo",23 de septiembre de 2023;;;;,"precio, no clasificable",Negativo
167,Muy bien pero..,21 de septiembre de 2023;;;;,<no clasificable>,Neutro
168,"Mi novio y yo pasamos un dia genial, pero durante el dia el quedo ver con ansias los jaguares, un are la cual estan en remodelacion, nos Sentimos mal porque en verdad queriamos verlos.Durante la comida, llegamos el restaurante Peninsula y el mesero se tardo mucho en atendernos y tomar nuestra orden de bebidas.Lo demas nos encanto, incluso las estaciones de agua Perfecto.",18 de septiembre de 2023;;;;,"general, animales, trato personal, buffet","Positivo, Negativo, Negativo, Positivo"
169,Lo mejor de Cancun para mi ,18 de septiembre de 2023;;;;,<general>,Positivo
170,Cancun y parque Xcaret es un imperdible que no pueden dejar de visitar. Quedense para el espectaculo final lo mejor de Mexico  en solo lugar. Bendiciones,15 de septiembre de 2023;;;;,"<general>, <show>",Positivo
171,lo mejor de la visita fue el espectaculo nocturno,13 de septiembre de 2023;;;;,show,positivo
172,El espectaculo es excelente igual me gusto el area tematica de la hacienda henequera y el show de los jinetes,12 de septiembre de 2023;;;;,"show, naturaleza/atracciones","Positivo, Positivo"
173,Visita de cumpleanos ,11 de septiembre de 2023;;;;,<no clasificable>,Neutro
174,"La pasamos excelente! Esta era mi 4ta vez pero la 1era vez de mi novioLos precios por los cielos pero el dolar estaba super bien! Si eres de QROO te conviene desayunar ahi, tienes el 20% de desc con tu INE y queda en 280 mxn aprox por persona, un precio razonable. Snacks, cervezas y refrescos carisimos, una cerveza en 80, refresco de lata en 59 y varia, si tienes dolares te conviene llevarlos!El show es bellisimo pero hay un calor terrible, lleven un abanico o de los porta ventiladoresGracias a Carolina Tuz quien nos apoyo con la compra de entradas y todas mis dudas me las resolvio",11 de septiembre de 2023;;;;,"general, precio, show, trato personal","Positivo, Negativo, Positivo, Positivo"
175,Mexico magico,10 de septiembre de 2023;;;;,<no clasificable>,Neutro
176,"Reserva con anticipacion, ahorraras dinero y tiempo, llega desde las 8, el parque es demasiado grande que no lograras terminar en un solo dia, pero si la mayoria de las atracciones, no te pierdas ninguno de los shows prehispanico y Mexico espectacular, son increibles sobre todos los que son en la tarde a partir de las 5, temprano a cada locacion por que se llena demasiado, la comida que esta incluida en la pase plus, es la mejor opcion, la comida es muy buena, puedes contratar el paquete fotografico, sin embargo puedes cubrirlo con un buen telefono, una funda vs el agua.",10 de septiembre de 2023;;;;,"general, show, buffet, no clasificable","positivo, positivo, positivo, neutro"
177,El mejor show de mi vida y la mejor atencion por parte del personal,10 de septiembre de 2023;;;;,"show, trato personal",positivo
178,No tenia intencion de ir a algun paseo o tour pero el senor Protacio y su companero Matias nos convencieron a mi y mi familia de tomar la excursion y una tener experiencia inolvidable,10 de septiembre de 2023;;;;,"trato personal, general",Positivo
179,Anos de espera,10 de septiembre de 2023;;;;,<no clasificable>,Negativo
180,Compras tus tickets en linea y aun asi tienes que hacer horas de fila para que te den tus pulseras para entrar.,8 de septiembre de 2023;;;;,no clasificable,Negativo
181,BUENO PERO DESGASTANTE,7 de septiembre de 2023;;;;,"<general>, <no clasificable>",Neutro
"182|""LO BUENO- Es unico en su tipo- Nadar en sus cavernas es relajante y muy grato- Esta pensado para sorprender y agradar (cumple con ello a cabalidad)- No se termina de conocer todo el parque. Ofrece gran cantidad y calidad de lugares y eventos- El manejo a nivel general en todos sus espacios  es muy bueno y el aseo es igualmente optimo- Hay orden y agilidad en todas las actividades- El respeto al visitante es notable en todos los funcionarios y empleados- Literalmente llore con el show nocturno.... es una experiencia impecable,... casi majestuosa.LO MALO- Es una locura, uno se enreda con tantas rayas en el piso que """"supuestamente""""  lo guian a uno (sobretodo porque los extranjeros raramente volveremos a visitar). Podrian colocar en la internet y mantener actualizadas las diversas rutas con videos y mapas interactivos, para que de antemano los visitantes programen su dia. Una locura.... se la pasa uno preguntando hacia donde ir.... mal. A la tarde ya queria una ducha y a la cama. Muy agotador.- No hay informacion precisa  en cuanto a las presentaciones en ruta que hay programadas para que uno se programe (Que coloquen horarios actualizados con codigos QR a la entrada, para uno programarse y no perderse nada).- En las cavernas en donde se nada.... hay unos 40 metros invadidos por murcielagos.... no es nada grato. Igualmente es muy monotono, podria ser que en el inmenso VITRAL, EN DONDE HAY UN GRAN ESPACIO,  que coloquen un lugar para jugar con agua.... cascaditas de agua, o valdes que se llenan y se derraman, etc, etc. Hermoso pero monotono.  ojo que es creo la mas emblematica actividad, junto con el show nocturno..... conclusion""|6 de septiembre de 2023;;;;",,,No disponible,No disponible
183,nunca deja de sorprender,5 de septiembre de 2023;;;;,<general>,Positivo
184,"el parque es magico por la cantidad de actividades que hay, no en vano a ganado el premio al mejor parque de diversiones del mundo,  aun que hayas ido varias veces no deja de asombrarte , siempre hay algo ue hacer,  algo que muchos no realizan quiza por el hecho ue buscan conocer lo mas ue puiuedean y por ser su 1ra vez , son los talleres  quese encuentran en el pueblo maya, donde puedes hacer actividades  con coco, chocolate, tejido entre otros recomiendo drse el tiempo para hacer esto. esto es lo que realizamosen esta ocasion  ya que y hemos visitado varias veces el parque",2 de septiembre de 2023;;;;,"general, naturaleza/atracciones, no clasificable",Positivo
185,Bellisimo todo y excelente atencion,1 de septiembre de 2023;;;;,"general, trato personal",Positivo
"186|""Maravillosa experiencia! Atencion muy buena de todo el personal, comida riquisima en el bufete """"LaLaguna"""".  Solo decepcionado de la cena gourmet en el """"Gran Tlachco"""" (porciones muy pequenas y la langosta tiene el tamano de un camaron mediano)""|30 de agosto de 2023;;;;",,,No disponible,No disponible
187,Como en casa,30 de agosto de 2023;;;;,<general>,Positivo
188,"Desde nuestra llegada al parque quedamos maravillados con los flamencos de la entrada, asi mismo mi recomendacion para quienes vayan es que visiten el rio como primera actividad; al salir del rio pasamos al restaurante la Laguna en donde el mesero Angel en todo momento fue muy amable y atento y quien junto a sus companeros le cantaron las mananitas a mi pareja.",30 de agosto de 2023;;;,"naturaleza/atracciones, animales, trato personal, buffet","Positivo, Positivo, Positivo, Positivo"
189,Excelente todo!!,28 de agosto de 2023;;;;,<general>,Positivo
190,Excelentes instalaciones y servicio de los empleados. Definitivamente el mejor parque de Mexico.Haya que regresar para terminar de conocerlo.,27 de agosto de 2023;;;;,"<general>, <trato personal>","Positivo, Positivo"
191,Muy bella experiencia en familia,26 de agosto de 2023;;;;,<general>,Positivo
192,Excelente. Muchas actividades para todos. El espectaculo de Mexico maravilloso. Pudimos hacer la mayoria de las actividades. Hicimos las actividades por nuestra cuenta y nos fue muy bien.,24 de agosto de 2023;;;;,"general, show, naturaleza/atracciones",Positivo
193,desconsolada por el pago,24 de agosto de 2023;;;;,"<precio>, <no clasificable>",Negativo
194,en lo personal lleve a mi hijo con discapacidad multiple cobraron con descuento mi inquietud es que el nino no quiso comer si les recomiendo que no deberiian de cobrarles a ellos el sho en la noche estuvo bien ha cambiado mucholo puse pesimo por que los ninos con discapasidad no deben de pagar les anexo el recibo,22 de agosto de 2023;;;;,"no clasificable, trato personal, show","Negativo, Positivo, Positivo"
195,Recomendado,21 de agosto de 2023;;;;,<general>,Positivo
196,"Un gran lugar hermoso por todas partes. Cada rincon es una nueva aventura. El show increible, cada detalle,. Y la comida excelente",19 de agosto de 2023;;;;,"general, show, buffet","Positivo, Positivo, Positivo"
197,Viaje familiar,19 de agosto de 2023;;;;,<no clasificable>,Neutro
198,"Nos falto conocer mas partes del parque, faltan guias que te puedan decir hacia donde vas dirigiendote dentro del parque, luego preguntabamos y parece que les molesta atender al turismo",16 de agosto de 2023;;;;,"general, trato personal, no clasificable",Negativo
199,"Ni fu, ni fa",15 de agosto de 2023;;;;,<no clasificable>,Neutro
200,"Quiza mis expectativas eran muy altas, pero el parque se me quedo corto.Lo mejor",13 de agosto de 2023;;;;,<general>,Negativo
201,Siempre lo mismo y muy caro,11 de agosto de 2023;;;;,"precio, no clasificable",Negativo
202,"Extremadamente caro y no vale la pena en general pero si hay que rescatar puntos los restaurantes buenos, todas las actividades o experiencias tienen costo extra  pero sobre todo no lo terminas de ver en un dia el show de Mexico esta bien pero a veces aburrido",11 de agosto de 2023;;;;,"<general>, <buffet>, <precio>, <show>","Negativo, Positivo, Negativo, Neutro"
203,No hay para tanto,10 de agosto de 2023;;;;,<no clasificable>,Neutro
204,No vayan si ya han visto cenotes y peces nadando alrededor suyo.El parque no vale los 150 que piden por la entrada.Vayan a otro lado.Solo se salva el espectaculo nocturno pero bueno.,9 de agosto de 2023;;;;,"general, precio, show","Negativo, Negativo, Positivo"
205,100 % recomendable,9 de agosto de 2023;;;;,<general>,Positivo
206,"Imperdible si visitas Cancun o Playa del Carmen. Los rios subterraneos son hermosos. Lo mejor es el show nocturno Mexico espectacular, tuvimos la oportunidad de disfrutarlo con la opcion de alimentos incluidos, los cuales estuvieron ricos y las porciones de muy buen tamano. Recomiendo llevar suficiente hidratacion y bloqueador.",8 de agosto de 2023;;;;,"general, naturaleza/atracciones, show, buffet","Positivo, Positivo, Positivo, Positivo"
207,Un gran parque,8 de agosto de 2023;;;;,<general>,Positivo
208,"Muy buena experiencia todo excelente muy organizado la familia laPasamos muy bien, la comida bien. Vale la pena, la visita",5 de agosto de 2023;;;;,"<general>, <buffet>, <precio>","Positivo, Positivo, Positivo"
209,salida de los rios subterraneos,5 de agosto de 2023;;;;,<naturaleza/atracciones>,Neutro
210,"Hermoso lugar, digno para visitar y disfrutar, personal muy amable y educado, una recomendacion",9 de agosto de 2023;;;;,"general, trato personal",positivo
211,No fue lo que esperaba,2 de agosto de 2023;;;;,<general>,Negativo
212,"Xcaret es un parque muy bonito pero me parece que falta informacion para poder disfrutarlo al 100%. La informacion que se encuentra es generica y no puedes planear tu dia con antelacion.El parque tiene caminos de colores de acuerdo al recorrido que quieres hacer; empezamos por el rio subterraneo pero habia demasiada gente y no se pudo disfrutar. No haria eso llegando sino despues de haber hecho snorkel, el Sea Trek y alguna de las actividades de caminata (pueblo Maya / aviario y mariposario o la caminata por la selva). Hay una zona muy linda hacia el teatro donde es el show final y en esa direccion tambien esta la torre escenica con una super vista.El show esta muy bueno!!Me habia hecho otra espectativa del parque, siento que podrian poner mas actividades interactivas y no solo caminatas de paseo, incluso creo que podrian poner sitios donde caiga agua para refrescarse o bebederos, nos costo encontrar los que habian. Por otro lado, las actividades de agua mas divertidas cuestan un adicional.No creo q volveria a este parque.",2 de agosto de 2023;;;,"general, naturaleza/atracciones, show, no clasificable","Negativo, Neutro, Positivo, Neutro"
213,Tip XCARET,31 de julio de 2023;;;;,<no clasificable>,<neutro>
214,"El parque es uno de los mejores en Mexico, lo podria comparar, solo por experiencia, con Vidanta, que aun que son de diferente mercado, la calidad es excepcional.Recomiendo conocer el parque en dos dias, el primero ni veas la playa ni el rio, gastaras mucha energia y no te daran ganas de conocer lo demas que ofrece el parque. Por lo que te recomiendo que el primer dia conoscas todo el parque y el segundo conoscas las actividades acuaticas con lo que podras decir que lo viviste al 100%Si eres MEXA grupo Xcaret te da un 10% de descuento y puedes conseguir mas descuentos.. Dejate consentir!!Si eres extranjero, puedo decirte que conoceras todo Mexico con este parque!!Gracias!!",28 de julio de 2023;;;;,"<general>, <naturaleza/atracciones>, <precio>","Positivo, Positivo, Positivo"
215,Experiencia con la Naturaleza,27 de julio de 2023;;;;,naturaleza/atracciones,Neutro
216,"Un dia lleno de experiencias espectaculares para realizar en familia o con amigos, es bastante largo, se podria hacer en 2 dias para conocer todo el parque. Comida deliciosa, buena atencion, lugares hermosos",26 de julio de 2023;;;;,"<general>, <buffet>, <trato personal>, <naturaleza/atracciones>",Positivo
217,Excelente todo incluido.,25 de julio de 2023;;;;,<general>,Positivo
218,"El hotel y los parques de Ixcaret son de lo mejor como atractivos turisticos, es realmente un todo incluido. Instalaciones, restaurantes, espectaculos dentro de hoteles y acceso a parques. Definitivamente vale la pena visitarlo.",25 de julio de 2023;;;;,"<general>, <naturaleza/atracciones>, <show>, <precio>",Positivo
219,Taxis de Xcaret,25 de julio de 2023;;;;,<no clasificable>,Neutro
220,"Muy bueno todo lo que habia ahi, compramos el paquete plus y la comida muy variada y basta, estuvo genial, solo el tache es para los taxis del lugar, cuando fuimos nos cobraron $250.00 pesos, y esta dentro de , pero para llevarnos al hotel que esta a escasos 5km, creo menos nos cobraron $800.00 pesos,  que lastima que quieran con un viaje sacar.lo de su dia, y mas a @xcaret por permitir semejante robo, me sale mas barato rentar un auto por 24hrs y gasto menos",25 de julio de 2023;;;;,"general, buffet, transporte a hoteles","Positivo, Positivo, Negativo"
221,Excelente todo!!!!,25 de julio de 2023;;;;,<general>,Positivo
222,"Excelente todo!!!!El grupo xcaret sabe como atender a una visita!! Desde el traslado del hotel hasta el regreso al hotel, todo fue magico",23 de julio de 2023;;;;,"general, trato personal, transporte a hoteles",Positivo
223,Genial,22 de julio de 2023;;;;,<general>,Positivo
224,"Xcaret es un lugar muy interesante hay diversas actividades que realizar, pero sobretodo destaco el show final pues es de un nivel muy alto y divertido",21 de julio de 2023;;;;,"general, show",positivo
225,Parque xcaret divertido en especial el Rio,21 de julio de 2023;;;;,"general, naturaleza/atracciones",Positivo
226,"Excelente opcion para visitar todo el dia con la familia. Tienen diferentes espectaculos para ninos , jovenes y adultos. La zona de rio es la mas entretenida , si logras ingresar antes de los grupos grandes de familia que a veces van muy lento , es muy divertido e inclusive se puede tomar fotos muy originales",21 de julio de 2023;;;;,"general, show, naturaleza/atracciones",Positivo
227,Experiencia inolvidable,20 de julio de 2023;;;;,<general>,Positivo
228,"Ya veo por que es el parque #1 en el mundo;es increible.Los precios son elevados,alrededor de 200 usd por adulto y 150 por nino,incluye actividades pagas como por ej",19 de julio de 2023;;;,"<general>, <precio>","Positivo, Negativo"
229,Experiencia inolvidable,18 de julio de 2023;;;;,<general>,Positivo
230,"Ya veo por que es el parque #1 en el mundo;es increible.Los precios son elevados,alrededor de 200 usd por adulto y 150 por nino,incluye actividades pagas como por ej",18 de julio de 2023;;;,"<general>, <precio>","Positivo, Negativo"
231,Excelente experiencia,16 de julio de 2023;;;;,<general>,Positivo
232,"Sin palabras de lo hermosa y excelente experiencia que vivi. Todo de lujo. Buenas vistas, amplio espacio, diferentes actividades y el dia se pasa super rapido. Volveria de todas maneras",16 de julio de 2023;;;;,"<general>, <naturaleza/atracciones>",Positivo
233,Dia extraordinario con gusto a insuficiente.,14 de julio de 2023;;;;,"<general>, <no clasificable>",Neutro
234,"Muchas actividades, imposible hacerlas en un dia. Todo muy bien organizado.LLamentable que los valores son muy elevados para sudamericanos.Seria interesante hacer ofertas de ticket para visitar el parque en 1, 2 o 3 dias, considerando que un dia es insuficiente para disfrutar plenamente del parque.",14 de julio de 2023;;;;,"<general>, <precio>","Positivo, Negativo"
235,Excelente experiencia para disfrutar en familia,13 de julio de 2023;;;;,<general>,Positivo
236,"Lindo parque tematico.Buenos restaurantes.Hermosa experiencia en nado con delfines.Rio subterraneo muy entretenido.Show nocturno a otro nivel, espectacular.Las fotos con QR recomendadas 100% al igual que las fotos con delfines.",13 de julio de 2023;;;;,"general, buffet, naturaleza/atracciones, show","Positivo, Positivo, Positivo, Positivo"
237,"Increible, no se lo pueden perder",14 de julio de 2023;;;;,<general>,Positivo
238,"Increible, todo funciona impecable es muy hermoso y diferente a la vez. No alcanza un solo dia para poder abarcar todo. El show final sin palabras lo mejor que he visto no se lo pueden perder, emosiona, sorprende, impacta desde todos los sentidos. Recomendable.",12 de julio de 2023;;;;,"<general>, <show>","Positivo, Positivo"
239,"Excelente Parque, puede ser mejor con pequenos detalles",12 de julio de 2023;;;;,<general>,Neutro
240,"Excelente Parque, estadia y Servicio en General. Creo que deberian ampliar el sistema de alimentaciona un All Inclusive, aunque entiendo que si lo hicieran posiblemente las cenas del Show no serian tan atractivas. Deberian buscar la forma de tener mejor ventilacion, asi sea artifical del teatroo, durante el show nocturno.",12 de julio de 2023;;;;,"general, buffet, show, no clasificable","Positivo, Neutro, Neutro, Neutro"
241,Birthday party !!!!,12 de julio de 2023;;;;,<no clasificable>,Neutro
242,"Fuimos para celebrar el cumpleanos de mi esposa, la pasamos genial !!!Todos los meseros del restaurante Orquidea le cantaron las mananitas y el pastel que le dieron estuvo mas que delicioso !!!Todo es hermoso y bello !!!Aprendes mucho en los diferentes talleres que tienen",11 de julio de 2023;;;;,"general, trato personal, buffet, naturaleza/atracciones","Positivo, Positivo, Positivo, Positivo"
243,"Clasificado como el parque #1 a nivel mundial, y sin duda lo es!",11 de julio de 2023;;;;,<general>,Positivo
244,"Excelente parque con actividades para todo el dia. Sin embargo, un dia no es suficiente para recorrerlo todo... Lo mejor del parque es el espectaculo  Mexico Espectacular , que cuenta la historia de nosotros como mexicanos y hasta puede hacerte llorar, un nostalgico momento con bailes folcloricos de cada uno de los 32 estados del pais.Simplemente una experiencia increible.",11 de julio de 2023;;;;,"general, show",Positivo
245,Tarde lindisima,11 de julio de 2023;;;;,<general>,Positivo
246,"Espectaculo nocturno, a demas los rios navegables. Lo hicimos dos veces, la comina fue variada y de buen sabor",11 de julio de 2023;;;;,"show, naturaleza/atracciones, buffet","Positivo, Positivo, Positivo"
247,Un lugar maravilloso!,11 de julio de 2023;;;;,<general>,Positivo
248,"Un lugar magico! Muchas cosas interesantes que ver y hacer. Es una combinacion perfecta entre cultura, naturaleza, arte e historia.",10 de julio de 2023;;;;,"<general>, <naturaleza/atracciones>",Positivo
249,"Corre, corre que si no te quedas fuera",10 de julio de 2023;;;;,<no clasificable>,<neutro>
250,"Muy lindo todo lo que ofrecen, pero no se puede apreciar bien porque todos los funcionarios te apuran para guardar tus pertenencias, conseguir el snorquel, tomar las fotos, etc. Compramos el tour plus y no percibimos ninguna diferencia con el regular.",18 de noviembre de 2023;;;;,"general, trato personal, precio","Negativo, Negativo, Neutro"
251,Muy Bonito,7 de julio de 2023;;;;,<general>,Positivo
252,"Hola todo muy bonito apesar de que estaba super lleno, lo unico que no me parecio es que  ya no te piden  o checan el bloqueador biodegradable  porque? hay que cuidar la naturaleza",7 de julio de 2023;;;;,"general, naturaleza/atracciones","Positivo, Negativo"
253,Vale la pena,6 de julio de 2023;;;;,<general>,Positivo
254,"Impresionante, para no perderselo. Entorno natural con actividades para todos los gustos, hicimos snorkel en el arrecife y valio la pena. Tiene muchas cosas para ver, hicimos tambien rios subterraneos, vimos espectaculos, la comida genial... Todo para repetir! Para no perderse el espectaculo de la tarde-noche.",6 de julio de 2023;;;;,"general, naturaleza/atracciones, show, buffet",Positivo
255,Increible xperiencia el show Xcaret Mexico,6 de julio de 2023;;;;,"show, general",positivo
256,"Show XCARET Mexico increible, nos encanto como esta representado nuestro pais con todos sus bailes y la cultura en general.",5 de julio de 2023;;;;,"show, general",positivo
257,MARAVILLOSA,5 de julio de 2023;;;;,<general>,Positivo
258,Todo muy bien. Merece la pena. Y el espectaculo nocturno es una maravilla que te hace amar la cultura mexicana.,4 de julio de 2023;;;;,"general, show","positivo, positivo"
259,Increible,4 de julio de 2023;;;;,<general>,Positivo
260,"Hemos realizado la excursion junto a mis hijos y considero que es practicamente una visita obligada si se viaja a la Riviera Maya. Lo contratamos directamente desde la pagina web con traslado incluido desde el propio hotel. Entiendo que otros operadores pueden ofrecer el mismo servicio.Nos recogieron en el hotel a la hora indicada en un autobus muy bien equipado, con un guia que nos comento como seria nuestra experiencia en el parque y todos los pormenores para que la visita fuera lo mas comoda posible. Tambien nos comento ciertos extras que no estaban incluidos (nado con delfines, cena espectaculo, etc).Directamente antes de subir al autobus nos colocaron la pulsera de acceso ( en nuestro caso contratamos el servicio plus que tiene la ventaja de tener comida tipo buffet en cualquier restaurante, acceso a taquillas, etc). Lo unico que no esta incluido son las toallas que se recomienda llevarlas desde el propio hotel. El parque es increible con dos zonas claramente diferenciadas, una zona de atracciones de agua donde destacan unos rios subterraneos que son una pasada que llegan a la playa y una zona cultural donde se pueden ver animales locales (Jaguar, Manaties, Focas,...), un poblado maya, etc. Y para terminar hay un espectaculo incluido en el precio de 2 horas de duracion que es impresionante, y no dejara a nadie indiferente.  El traslado de vuelta esta muy bien programado y hay bastante personal del parque informando del autobus de vuelta a cada hotel.",4 de julio de 2023;;;;,"general, transporte a hoteles, naturaleza/atracciones, animales, buffet, show, trato personal",Positivo
261,Increible,4 de julio de 2023;;;;,<general>,Positivo
262,"El parque esta increible, hay muchisimo que ver y puedes hacer muy buenas fotos, el espectaculo nocturno es totalmente imprescindible. No olvidarse pasar por la tienda de recuerdos, para que tengas siempre un recuerdo inolvidable de un dia maravilloso.",3 de julio de 2023;;;;,"general, show, no clasificable","Positivo, Positivo, Neutro"
263,Entorno y actividades magicas,2 de julio de 2023;;;;,"<general>, <naturaleza/atracciones>",Positivo
